species,Female_None_Mean,Female_None_SE,Female_None_Lower,Female_None_Upper,Female_Hormonal_Mean,Female_Hormonal_SE,Female_Hormonal_Lower,Female_Hormonal_Upper,Female_Immunological_Mean,Female_Immunological_SE,Female_Immunological_Lower,Female_Immunological_Upper,Female_Surgical_Mean,Female_Surgical_SE,Female_Surgical_Lower,Female_Surgical_Upper,Female_Undetermined_Mean,Female_Undetermined_SE,Female_Undetermined_Lower,Female_Undetermined_Upper,Male_None_Mean,Male_None_SE,Male_None_Lower,Male_None_Upper,Male_Hormonal_Mean,Male_Hormonal_SE,Male_Hormonal_Lower,Male_Hormonal_Upper,Male_Immunological_Mean,Male_Immunological_SE,Male_Immunological_Lower,Male_Immunological_Upper,Male_Surgical_Mean,Male_Surgical_SE,Male_Surgical_Lower,Male_Surgical_Upper,Male_Undetermined_Mean,Male_Undetermined_SE,Male_Undetermined_Lower,Male_Undetermined_Upper,Female.None,Female.Hormonal,Female.Immunological,Female.Surgical,Female.Undetermined,Male.None,Male.Hormonal,Male.Immunological,Male.Surgical,Male.Undetermined
Cebus capucinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.202335,3.025983365,16.74357781,28.53798047,NA,NA,NA,NA,NA,NA,NA,NA,50.29976484,27.02158358,26.66713671,123.8821516,NA,NA,NA,NA,0,0,0,0,0,309,1,0,45,4
Cercopithecus neglectus,14.43166081,0.719647976,13.1051061,15.89831228,18.18683855,4.089211515,11.35619212,27.32726403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483,32,0,6,19,0,0,0,0,0
Cervus canadensis,13.74086592,0.261662581,13.21579038,14.25263999,13.87030714,1.457838019,11.17948461,16.85117151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.206140711,0.327087363,8.579499599,9.867311822,NA,NA,NA,NA,NA,NA,NA,NA,14.53103994,2.11959088,10.86984566,19.06566584,NA,NA,NA,NA,2370,30,19,2,6,2111,1,0,40,12
Cervus elaphus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.671873342,0.368392778,7.973193043,9.412645644,NA,NA,NA,NA,NA,NA,NA,NA,7.781125636,0.853404761,6.257217528,9.577419999,NA,NA,NA,NA,0,0,0,0,0,1825,0,0,55,2
Cervus nippon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.883709609,0.262022132,7.385089498,8.420504755,NA,NA,NA,NA,NA,NA,NA,NA,6.131470948,0.9452261,4.523281859,8.19512245,NA,NA,NA,NA,0,0,0,0,0,2975,4,0,70,14
Chinchilla lanigera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.234072117,0.228990021,6.794660796,7.699869455,NA,NA,NA,NA,NA,NA,NA,NA,8.095177484,1.211444417,5.940771801,10.82737813,NA,NA,NA,NA,0,0,0,0,0,1440,0,0,47,3
Chlorocebus aethiops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.81997077,0.911317587,13.22540984,16.84672079,NA,NA,NA,NA,NA,NA,NA,NA,18.37503295,4.68073789,10.97751782,29.03228477,NA,NA,NA,NA,0,0,0,0,0,685,1,0,30,3
Chrysocyon brachyurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Colobus angolensis,12.65036276,1.669447303,9.91651992,16.47575774,19.28554074,6.116332509,11.79883081,34.63869934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,34,0,7,3,0,0,0,0,0
Colobus guereza,9.668167572,0.338426762,9.020675004,10.33117196,15.36876702,1.507583425,12.65031393,18.52218859,NA,NA,NA,NA,NA,NA,NA,NA,12.94537631,1.249159523,10.64578725,15.55284352,13.93954794,0.4807832,13.04469115,14.90827515,NA,NA,NA,NA,NA,NA,NA,NA,14.18511964,1.733040437,11.09875122,17.93622959,NA,NA,NA,NA,1174,122,0,24,60,1352,4,0,57,15
