species,Female_Hormonal_Mean,Female_Hormonal_SE,Female_Hormonal_Lower,Female_Hormonal_Upper,Female_Immunological_Mean,Female_Immunological_SE,Female_Immunological_Lower,Female_Immunological_Upper,Female_Surgical_Mean,Female_Surgical_SE,Female_Surgical_Lower,Female_Surgical_Upper,Female_Undetermined_Mean,Female_Undetermined_SE,Female_Undetermined_Lower,Female_Undetermined_Upper,Male_Hormonal_Mean,Male_Hormonal_SE,Male_Hormonal_Lower,Male_Hormonal_Upper,Male_Immunological_Mean,Male_Immunological_SE,Male_Immunological_Lower,Male_Immunological_Upper,Male_Surgical_Mean,Male_Surgical_SE,Male_Surgical_Lower,Male_Surgical_Upper,Male_Undetermined_Mean,Male_Undetermined_SE,Male_Undetermined_Lower,Male_Undetermined_Upper
Crocuta crocuta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynomys ludovicianus,NA,NA,NA,NA,NA,NA,NA,NA,0.234190605,0.171450718,-0.112011216,0.556548948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078869643,0.102306265,-0.126001706,0.274854636,NA,NA,NA,NA
Dama dama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.170040359,-0.423750308,0.48522561,0.087725024,0.129455774,0.087313059,0.19847713,0.864728429
Damaliscus pygargus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.088030848,0.204583168,-0.508156498,0.301291391,NA,NA,NA,NA
Desmodus rotundus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.797053002,0.234582306,-1.278722352,-0.3555977,NA,NA,NA,NA
Didelphis virginiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.443803533,0.125292105,-0.695652342,-0.203647031,NA,NA,NA,NA
Dolichotis patagonum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.256868666,0.12728315,-0.507263059,-0.016931313,NA,NA,NA,NA
Eidolon helvum,NA,NA,NA,NA,NA,NA,NA,NA,-0.31447438,0.221821583,-0.770667986,0.110636927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.464670208,0.161783502,-0.782698475,-0.151879199,NA,NA,NA,NA
Equus asinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.316342639,0.127770121,-0.567821886,-0.067713578,NA,NA,NA,NA
Equus caballus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.500058863,-0.657600205,-0.472135262,-0.929056567,0.077215971,-0.352172562,0.220818377,-0.061718609
Equus hemionus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.330940443,0.526860613,-2.450242783,-0.387942105,NA,NA,NA,NA
Equus quagga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.696340702,0.164909814,-1.035440302,-0.389286275,NA,NA,NA,NA
Erythrocebus patas,-0.081097254,0.241938864,-0.57825662,0.363731787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.045007826,0.198756126,-0.452271883,0.328695875,NA,NA,NA,NA
Eudorcas thomsonii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.813350135,0.154307017,-1.11627752,-0.509526975,NA,NA,NA,NA
Eulemur coronatus,-1.230829983,0.51331429,-2.302562173,-0.285565858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eulemur macaco,-0.939061987,0.428508207,-1.873148988,-0.183137495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eulemur rubriventer,-0.06133408,0.412024452,-0.907454787,0.69894956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felis catus,NA,NA,NA,NA,NA,NA,NA,NA,-0.843634606,0.243807534,-1.336184957,-0.378496207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.724223131,-1.110876558,-1.007112907,-1.83370098,0.195986821,-0.350465726,0.39828479,-0.27307492
